ETFs/ETCs,Ticker,Exchange,Trading Currency,Base Currency,ISIN,WKN,Valoren,SEDOL,SFDR Classification,"AUM (Base) (as of 
2022-08-12)","NAV (as of 
2022-08-12)",TER,Product Type,UCITS,Registrations,,,,,,,,,,,,,,,,,,,,,,,
iClima Global Decarbonisation Enablers UCITS ETF - Accumulating,CLMA FP,Paris,EUR,USD,IE00BNC1F287,A2QG4B,58802920,BN472V2,Article 9,"56,153,006",8.1499,0.65%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
iClima Global Decarbonisation Enablers UCITS ETF - Accumulating,CLMAN MF,BMV,USD,USD,IE00BNC1F287,A2QG4B,58802920,BMZQDM9,Article 9,"56,153,006",8.1499,0.65%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Airlines Hotels Cruise Lines UCITS ETF - Accumulating,7RIP GY,Xetra,EUR,USD,IE00BMFNW783,A3CPGE,111372791,BL6KDQ7,Article 6,"32,997,250",5.7688,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Airlines Hotels Cruise Lines UCITS ETF - Accumulating,TRYP FP,Paris,EUR,USD,IE00BMFNW783,A3CPGE,111372791,BPG9N28,Article 6,"32,997,250",5.7688,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Airlines Hotels Cruise Lines UCITS ETF - Accumulating,TRYP IM,Borsa Italiana,EUR,USD,IE00BMFNW783,A3CPGE,111372791,BL6KDP6,Article 6,"32,997,250",5.7688,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Airlines Hotels Cruise Lines UCITS ETF - Accumulating,TRYP LN,LSE,USD,USD,IE00BMFNW783,A3CPGE,111372791,BMTR180,Article 6,"32,997,250",5.7688,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Airlines Hotels Cruise Lines UCITS ETF - Accumulating,TRYPN MF,BMV,USD,USD,IE00BMFNW783,A3CPGE,111372791,BMZQG86,Article 6,"32,997,250",5.7688,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Airlines Hotels Cruise Lines UCITS ETF - Accumulating,TRYP SE,SIX,CHF,USD,IE00BMFNW783,A3CPGE,111372791,BMX8D61,Article 6,"32,997,250",5.7688,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Airlines Hotels Cruise Lines UCITS ETF - Accumulating,TRIP LN,LSE,GBp,USD,IE00BMFNW783,A3CPGE,111372791,BMTR1G8,Article 6,"32,997,250",5.7688,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Digital Infrastructure and Connectivity UCITS ETF - Accumulating,DIGI LN,LSE,USD,USD,IE00BL643144,A2QB9J,57473380,BJP4Y29,Article 8,"24,941,653",8.3417,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Digital Infrastructure and Connectivity UCITS ETF - Accumulating,PIGI LN,LSE,GBp,USD,IE00BL643144,A2QB9J,57473380,BJP4Y18,Article 8,"24,941,653",8.3417,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Digital Infrastructure and Connectivity UCITS ETF - Accumulating,DIGI SE,SIX,CHF,USD,IE00BL643144,A2QB9J,57473380,BMC7PC9,Article 8,"24,941,653",8.3417,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Digital Infrastructure and Connectivity UCITS ETF - Accumulating,DIGIN MF,BMV,USD,USD,IE00BL643144,A2QB9J,57473380,BMZQGJ7,Article 8,"24,941,653",8.3417,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Digital Infrastructure and Connectivity UCITS ETF - Accumulating,DIGI IM,Borsa Italiana,EUR,USD,IE00BL643144,A2QB9J,57473380,BMW4W74,Article 8,"24,941,653",8.3417,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Digital Infrastructure and Connectivity UCITS ETF - Accumulating,DIGI GY,Xetra,EUR,USD,IE00BL643144,A2QB9J,57473380,BMW4W85,Article 8,"24,941,653",8.3417,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
Digital Infrastructure and Connectivity UCITS ETF - Accumulating,DIGI FP,Paris,EUR,USD,IE00BL643144,A2QB9J,57473380,BPG9MV0,Article 8,"24,941,653",8.3417,0.69%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
